Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",9.775000,18.200000,90.000000,top
"C2","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",24.600000,20.325000,90.000000,top
"C3","1u","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",4.000000,16.900000,180.000000,top
"C4","0.1u","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",14.484000,5.900000,-90.000000,top
"C5","1u","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",11.550000,8.900000,180.000000,top
"C6","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",5.625000,19.075000,90.000000,top
"C7","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",9.850000,10.300000,-90.000000,top
"C8","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",6.625000,19.050000,90.000000,top
"C9","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",14.600000,8.300000,-90.000000,top
"C10","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",19.304000,20.322000,0.000000,top
"C11","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",15.575000,8.300000,-90.000000,top
"C12","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",4.000000,17.900000,180.000000,top
"C13","1u","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",10.775000,18.975000,90.000000,top
"C14","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",2.050000,12.450000,180.000000,top
"C15","13p","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",82.550000,17.782000,0.000000,top
"D1","1N4148WS","D_SOD-323",14.700000,1.600000,0.000000,top
"D3","1N4148WS","D_SOD-323",82.575000,7.000000,0.000000,top
"D4","1N4148WS","D_SOD-323",81.425000,23.800000,90.000000,top
"D5","LED","D_0603_1608Metric_Pad1.05x0.95mm_HandSolder",27.940000,25.402000,180.000000,top
