5V+1:1
6V+1:1
BAT+1:1
BAT-1:1
Bolt1:1
Bolt2:1
C1:1
C10:1
C11:1
C12:1
C13:1
C2:1
C7:1
C8:1
C9:1
CHG1:1
D2:1
D3:1
D4:1
D5:1
D6:1
GND1:1
GND2:1
Hole1:1
J1:1
L2:1
R1:1
R2:1
R3:1
R4:1
R5:1
R6:1
R7:1
R8:1
R9:1
REF**:2
R_PRG1:1
S1:1
STB1:1
Sx70_Pogopin1:1
U1:1
U3:1
U4:1
